<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GDAX.BTC-USD;D;20201208;000000;18316.2200000
GDAX.BTC-USD;D;20201209;000000;18546.5500000
GDAX.BTC-USD;D;20201210;000000;18253.4400000
GDAX.BTC-USD;D;20201211;000000;18042.1500000
GDAX.BTC-USD;D;20201212;000000;18821.2800000
GDAX.BTC-USD;D;20201213;000000;19166.6500000
GDAX.BTC-USD;D;20201214;000000;19272.3700000
GDAX.BTC-USD;D;20201215;000000;19444.6000000
GDAX.BTC-USD;D;20201216;000000;21359.6500000
GDAX.BTC-USD;D;20201217;000000;22826.4800000
GDAX.BTC-USD;D;20201218;000000;23137.7600000
GDAX.BTC-USD;D;20201219;000000;23849.9900000
GDAX.BTC-USD;D;20201220;000000;23476.5100000
GDAX.BTC-USD;D;20201221;000000;22729.4000000
GDAX.BTC-USD;D;20201222;000000;23823.2700000
GDAX.BTC-USD;D;20201223;000000;23228.3500000
GDAX.BTC-USD;D;20201224;000000;23717.9600000
GDAX.BTC-USD;D;20201225;000000;24704.7100000
GDAX.BTC-USD;D;20201226;000000;26475.3500000
GDAX.BTC-USD;D;20201227;000000;26258.6500000
GDAX.BTC-USD;D;20201228;000000;27040.3600000
GDAX.BTC-USD;D;20201229;000000;27366.3500000
GDAX.BTC-USD;D;20201230;000000;28897.4200000
GDAX.BTC-USD;D;20201231;000000;28990.0800000
GDAX.BTC-USD;D;20210101;000000;29412.8400000
GDAX.BTC-USD;D;20210102;000000;32225.9100000
GDAX.BTC-USD;D;20210103;000000;33080.6600000
GDAX.BTC-USD;D;20210104;000000;32019.9900000
GDAX.BTC-USD;D;20210105;000000;34030.6400000
GDAX.BTC-USD;D;20210106;000000;36859.2600000
GDAX.BTC-USD;D;20210107;000000;39505.5600000
GDAX.BTC-USD;D;20210108;000000;40665.1500000
GDAX.BTC-USD;D;20210109;000000;40257.4300000
GDAX.BTC-USD;D;20210110;000000;38171.5700000
GDAX.BTC-USD;D;20210111;000000;35452.5900000
GDAX.BTC-USD;D;20210112;000000;34038.9800000
GDAX.BTC-USD;D;20210113;000000;37393.6600000
GDAX.BTC-USD;D;20210114;000000;39125.1400000
GDAX.BTC-USD;D;20210115;000000;36754.6700000
GDAX.BTC-USD;D;20210116;000000;36006.9400000
GDAX.BTC-USD;D;20210117;000000;35820.0000000
